iter	RMSE
0	21.67113439
1	21.0823475
2	20.50798522
3	19.93845808
4	19.43819225
5	18.96249033
6	18.50958973
7	18.03503164
8	17.62613523
9	17.25578951
10	16.86768285
11	16.54140167
12	16.25068305
13	15.9629643
14	15.6490566
15	15.38066023
16	15.12734462
17	14.88714139
18	14.63275108
19	14.40132393
20	14.1881772
21	13.97045199
22	13.79593299
23	13.62835147
24	13.45930789
25	13.29686452
26	13.1304017
27	12.97821604
28	12.85636598
29	12.74373937
30	12.61648821
31	12.51603548
32	12.4023174
33	12.2932192
34	12.197931
35	12.09759425
36	11.9883803
37	11.89988047
38	11.81606213
39	11.72907821
40	11.64810283
41	11.56473263
42	11.49651378
43	11.43352313
44	11.36872206
45	11.29037585
46	11.22307946
47	11.1610955
48	11.10125961
49	11.03845689
50	10.97849679
51	10.93669776
52	10.88076346
53	10.83841224
54	10.78908186
55	10.7422973
56	10.69918453
57	10.65023353
58	10.59936366
59	10.55902617
60	10.50879164
61	10.45418326
62	10.4240543
63	10.39738773
64	10.35643762
65	10.32017506
66	10.29037564
67	10.25302476
68	10.22707404
69	10.20263777
70	10.17907146
71	10.15295782
72	10.13055303
73	10.10857329
74	10.07346116
75	10.04315702
76	10.01650885
77	9.99463349
78	9.975062069
79	9.940648027
80	9.915904477
81	9.893107048
82	9.865286078
83	9.844063963
84	9.824895825
85	9.798135886
86	9.774840664
87	9.757875996
88	9.738959374
89	9.715883358
90	9.691126893
91	9.675230416
92	9.633336691
93	9.612407151
94	9.598913854
95	9.578198614
96	9.55291751
97	9.543619439
98	9.530034717
99	9.50314477
