iter	Passed	Remaining
0	2	222
1	4	209
2	6	203
3	8	202
4	10	201
5	13	209
6	16	214
7	18	210
8	20	204
9	22	198
10	24	194
11	25	190
12	28	192
13	30	188
14	32	184
15	34	180
16	36	177
17	38	174
18	40	172
19	43	173
20	45	170
21	47	168
22	49	166
23	51	163
24	53	161
25	55	158
26	58	157
27	59	154
28	61	151
29	63	148
30	65	146
31	67	144
32	69	141
33	72	140
34	74	139
35	77	137
36	79	134
37	81	132
38	83	130
39	85	127
40	87	126
41	89	124
42	92	121
43	94	119
44	96	117
45	98	115
46	100	113
47	102	111
48	104	109
49	106	106
50	108	104
51	110	102
52	112	100
53	114	97
54	117	96
55	119	94
56	121	91
57	124	89
58	126	87
59	128	85
60	130	83
61	132	81
62	134	79
63	136	76
64	139	75
65	141	73
66	143	70
67	145	68
68	148	66
69	150	64
70	152	62
71	154	59
72	156	57
73	157	55
74	159	53
75	163	51
76	165	49
77	167	47
78	169	45
79	171	42
80	173	40
81	176	38
82	178	36
83	180	34
84	184	32
85	186	30
86	188	28
87	193	26
88	195	24
89	199	22
90	201	19
91	204	17
92	207	15
93	209	13
94	212	11
95	214	8
96	216	6
97	218	4
98	221	2
99	223	0
