iter	RMSE
0	20.49936854
1	20.05715791
2	19.59283683
3	19.13855704
4	18.74269033
5	18.38395372
6	17.98142863
7	17.61755095
8	17.27508513
9	16.95563724
10	16.62797739
11	16.31994824
12	16.07270413
13	15.81002553
14	15.54639424
15	15.30787278
16	15.04739803
17	14.82805994
18	14.58289504
19	14.35151718
20	14.13083545
21	13.91899927
22	13.7377048
23	13.55394785
24	13.37758756
25	13.2074063
26	13.02470111
27	12.85571624
28	12.70885641
29	12.5781353
30	12.4550909
31	12.34634333
32	12.23051357
33	12.11555746
34	12.0065164
35	11.89268577
36	11.77550483
37	11.68122271
38	11.56976081
39	11.46863471
40	11.3713397
41	11.26956216
42	11.18824291
43	11.10831854
44	11.01649579
45	10.94189756
46	10.86352922
47	10.79844425
48	10.73205091
49	10.66370542
50	10.59360014
51	10.52571553
52	10.46038655
53	10.4081324
54	10.35778118
55	10.30701048
56	10.2467705
57	10.19878564
58	10.15329413
59	10.11138659
60	10.06049803
61	10.01247067
62	9.980997361
63	9.943676105
64	9.900197463
65	9.857736042
66	9.82431702
67	9.794902697
68	9.760509648
69	9.732697667
70	9.699265004
71	9.674293645
72	9.641509864
73	9.608005129
74	9.578434477
75	9.555356051
76	9.52630371
77	9.498088094
78	9.473555143
79	9.442643051
80	9.409908745
81	9.389821563
82	9.365390304
83	9.33983515
84	9.314936362
85	9.287011959
86	9.266769316
87	9.247000063
88	9.225709685
89	9.204383498
90	9.18502663
91	9.158847559
92	9.137185196
93	9.117457371
94	9.10056767
95	9.08433179
96	9.061536943
97	9.04770818
98	9.023644252
99	9.001677469
100	8.985119971
101	8.967768438
102	8.943572437
103	8.926751752
104	8.911287888
105	8.890208956
106	8.872545004
107	8.860247135
108	8.842930707
109	8.825198773
110	8.807860742
111	8.79809506
112	8.776533305
113	8.756811129
114	8.73572623
115	8.722502765
116	8.7146892
117	8.694832447
118	8.676637689
119	8.658706374
120	8.642758646
121	8.630865666
122	8.61357438
123	8.602216763
124	8.589211233
125	8.57852375
126	8.565367767
127	8.553906779
128	8.545660137
129	8.531915604
130	8.519387057
131	8.50728661
132	8.491154632
133	8.476804028
134	8.468465424
135	8.455313496
136	8.436291718
137	8.418592195
138	8.406599746
139	8.397335291
140	8.381195104
141	8.358890087
142	8.341776444
143	8.329214626
144	8.318105563
145	8.299279843
146	8.288169591
147	8.27466716
148	8.252043777
149	8.23873366
150	8.224677675
151	8.2110299
152	8.19851582
153	8.189796886
154	8.179273212
155	8.164087976
156	8.146213487
157	8.13586527
158	8.124618523
159	8.108341204
160	8.095088049
161	8.083741234
162	8.075374563
163	8.062759214
164	8.045593718
165	8.034937975
166	8.020857693
167	8.013374485
168	7.998844912
169	7.986157122
170	7.978588213
171	7.972385587
172	7.965689693
173	7.956788841
174	7.941733489
175	7.931788611
176	7.921886777
177	7.910411067
178	7.896336937
179	7.883774809
180	7.873605076
181	7.865845106
182	7.853792608
183	7.839044593
184	7.822893212
185	7.811442951
186	7.800108417
187	7.787256769
188	7.780714314
189	7.767826178
190	7.756817323
191	7.743610911
192	7.731337886
193	7.718414073
194	7.708223414
195	7.687393772
196	7.676862815
197	7.661652985
198	7.649721035
199	7.634473961
200	7.619500065
201	7.602542749
202	7.594616839
203	7.581028974
204	7.574871221
205	7.562996642
206	7.556526346
207	7.545692359
208	7.538001338
209	7.523642624
210	7.512195986
211	7.504337704
212	7.494059794
213	7.482723624
214	7.472828289
215	7.459309533
216	7.452080171
217	7.440118391
218	7.429466286
219	7.418577806
220	7.411449069
221	7.394838259
222	7.383034319
223	7.375900424
224	7.364616293
225	7.354978198
226	7.343068941
227	7.335772636
228	7.326093591
229	7.31420002
230	7.306565439
231	7.294298965
232	7.285440007
233	7.279967354
234	7.273741197
235	7.26613958
236	7.262058611
237	7.254034512
238	7.242658712
239	7.23480219
240	7.226444181
241	7.215602267
242	7.209688802
243	7.195955545
244	7.185068463
245	7.176966033
246	7.166455349
247	7.155854373
248	7.14554814
249	7.138753672
250	7.12165036
251	7.116781185
252	7.106525477
253	7.09970087
254	7.093974973
255	7.084631825
256	7.073640546
257	7.067256898
258	7.063010328
259	7.053162116
260	7.049372566
261	7.044084287
262	7.037551315
263	7.027524519
264	7.01732484
265	7.009909239
266	7.000649395
267	6.991523342
268	6.985690526
269	6.973569901
270	6.962950269
271	6.957772269
272	6.948028318
